SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400610,2025-01-21T00:00:00,LAL vs. WAS,W,19.433333333333334,3,3,1.0,0,0,0.0,2,3,0.667,0,3,3,0,0,0,2,0,1,2,8,3,17.6,0,0,15.0,1,1,1,1,20,14,26,1,1,4,1,8,7,15,36,19,26,28,24,20,3,1,5,12,14,23,24,3,1,24,1,19:26
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400596,2025-01-19T00:00:00,LAL @ LAC,L,12.771666666666667,2,2,1.0,0,0,0.0,0,0,0.0,0,2,2,2,0,1,0,0,0,0,4,4,12.4,0,0,10.0,1,32,32,32,36,24,31,1,1,4,1,28,30,28,36,25,33,8,24,6,29,1,1,38,30,21,35,3,1,35,1,12:46
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400585,2025-01-17T00:00:00,LAL vs. BKN,W,33.06666666666667,3,7,0.429,0,0,0.0,0,0,0.0,1,8,9,1,1,0,0,2,2,1,6,9,17.3,0,0,16.0,1,1,1,1,3,14,3,39,1,4,1,28,30,28,20,3,6,15,10,20,29,44,14,22,21,12,25,3,1,21,1,33:04
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400570,2025-01-15T00:00:00,LAL vs. MIA,W,14.183333333333334,2,3,0.667,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,0,1,0,4,2,8.2,0,0,7.0,1,1,1,1,35,24,26,24,1,4,1,28,30,28,20,41,40,28,24,6,29,1,5,38,30,25,39,3,1,39,1,14:11
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400552,2025-01-13T00:00:00,LAL vs. SAS,L,12.75,2,4,0.5,0,1,0.0,0,0,0.0,1,0,1,1,0,0,1,0,2,1,4,-4,9.7,0,0,8.0,1,32,32,32,37,24,19,33,1,1,1,28,30,28,20,41,40,15,24,20,14,1,14,22,30,32,38,3,1,38,1,12:45
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400504,2025-01-07T00:00:00,LAL @ DAL,L,11.65,0,1,0.0,0,0,0.0,1,2,0.5,1,2,3,1,0,1,2,0,4,1,1,-5,15.1,0,0,11.0,1,32,32,32,40,41,40,41,1,4,1,19,11,19,20,25,26,15,24,6,3,1,36,22,42,33,30,3,1,33,1,11:39
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400491,2025-01-05T00:00:00,LAL @ HOU,L,5.9383333333333335,0,2,0.0,0,0,0.0,2,2,1.0,1,1,2,1,0,0,0,0,2,1,2,-7,5.9,0,0,5.0,1,32,32,32,44,41,31,41,1,4,1,8,11,1,20,32,33,15,24,20,29,1,14,22,41,35,41,3,1,41,1,5:56
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400477,2025-01-03T00:00:00,LAL vs. ATL,W,10.7,1,2,0.5,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,0,0,2,3,0,4.2,0,0,4.0,1,1,1,1,41,38,31,33,1,4,1,19,11,19,36,32,40,28,24,20,29,1,1,12,40,29,42,3,1,42,1,10:42
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400468,2025-01-02T00:00:00,LAL vs. POR,W,17.85,2,4,0.5,0,0,0.0,0,0,0.0,2,4,6,0,1,1,1,0,3,1,4,5,16.2,0,0,14.0,1,1,1,1,24,24,19,33,1,4,1,28,30,28,8,14,13,28,10,6,14,1,26,22,30,17,27,3,1,26,1,17:51
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400039,2024-11-26T00:00:00,LAL @ PHX,L,16.871666666666666,2,2,1.0,0,0,0.0,3,4,0.75,2,2,4,0,2,1,0,0,1,2,7,-8,12.8,0,0,13.0,1,32,32,32,26,24,31,1,1,4,1,3,4,12,8,25,21,28,3,6,29,1,5,12,20,36,33,3,1,29,1,16:52
